4	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 36 37 37 38 38 39 39 40 40 41 41 42 42 43 43 44 44 45 45 46 47 47 48 48 49 50 50 51 51 52 52 53 54 54 55 55 56 56 57 57 58 58 59 59 60 61 61 62 62 63 63 64 65 65 66 66 67 67 68 68 69 70 70 71 71 72 72 73 73 74 74 75 75 76 76 77 78 78 79 79 80 80 81 81 82 82 83 83 84 85 85 86 87 87 86 88 89 89 90 90 91 91 92 93 93 94 94 95 95 96 97 97 98 98 99 99 100 100]
0	:invoke	:broadcast	101
0	:ok	:broadcast	101
0	:invoke	:broadcast	102
0	:ok	:broadcast	102
1	:invoke	:read	nil
1	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 37 37 38 38 39 40 40 41 41 42 43 44 44 45 46 46 47 48 49 49 50 51 52 52 53 53 54 54 55 55 56 56 57 57 58 59 59 60 60 61 61 62 62 63 64 64 65 65 66 66 67 67 68 69 69 70 70 71 71 72 73 73 74 74 75 76 76 77 77 78 78 79 79 80 81 82 82 83 83 84 84 85 85 86 87 87 88 88 89 89 90 90 91 91 92 92 93 93 94 95 95 96 96 97 97 98 99 99 100 101 101 102 102]
2	:invoke	:broadcast	103
2	:ok	:broadcast	103
3	:invoke	:read	nil
3	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32 34 34 35 35 36 36 37 38 38 39 39 40 41 41 42 42 43 43 44 44 45 45 46 46 47 47 48 48 49 49 50 50 51 51 52 53 53 54 54 55 55 56 57 57 58 58 59 60 60 61 61 62 62 63 63 64 64 65 65 66 67 67 68 68 69 69 70 70 71 71 72 72 73 74 74 75 75 76 77 77 78 78 79 79 80 80 81 81 82 82 83 83 84 84 85 85 87 86 86 88 88 89 89 90 90 91 92 92 93 93 94 94 95 96 96 97 97 98 98 99 100 100 101 101 102 102 103 103]
4	:invoke	:read	nil
4	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 36 37 37 38 38 39 39 40 40 41 41 42 42 43 43 44 44 45 45 46 47 47 48 48 49 50 50 51 51 52 52 53 54 54 55 55 56 56 57 57 58 58 59 59 60 61 61 62 62 63 63 64 65 65 66 66 67 67 68 68 69 70 70 71 71 72 72 73 73 74 74 75 75 76 76 77 78 78 79 79 80 80 81 81 82 82 83 83 84 85 85 86 87 87 86 88 89 89 90 90 91 91 92 93 93 94 94 95 95 96 97 97 98 98 99 99 100 100 101 101 102 102 103 103]
:nemesis	:info	:stop-partition	nil
:nemesis	:info	:stop-partition	:network-healed
4	:invoke	:read	nil
1	:invoke	:read	nil
3	:invoke	:read	nil
2	:invoke	:read	nil
0	:invoke	:read	nil
1	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 37 37 38 38 39 40 40 41 41 42 43 44 44 45 46 46 47 48 49 49 50 51 52 52 53 53 54 54 55 55 56 56 57 57 58 59 59 60 60 61 61 62 62 63 64 64 65 65 66 66 67 67 68 69 69 70 70 71 71 72 73 73 74 74 75 76 76 77 77 78 78 79 79 80 81 82 82 83 83 84 84 85 85 86 87 87 88 88 89 89 90 90 91 91 92 92 93 93 94 95 95 96 96 97 97 98 99 99 100 101 101 102 102 103]
4	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 36 37 37 38 38 39 39 40 40 41 41 42 42 43 43 44 44 45 45 46 47 47 48 48 49 50 50 51 51 52 52 53 54 54 55 55 56 56 57 57 58 58 59 59 60 61 61 62 62 63 63 64 65 65 66 66 67 67 68 68 69 70 70 71 71 72 72 73 73 74 74 75 75 76 76 77 78 78 79 79 80 80 81 81 82 82 83 83 84 85 85 86 87 87 86 88 89 89 90 90 91 91 92 93 93 94 94 95 95 96 97 97 98 98 99 99 100 100 101 101 102 102 103 103]
3	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32 34 34 35 35 36 36 37 38 38 39 39 40 41 41 42 42 43 43 44 44 45 45 46 46 47 47 48 48 49 49 50 50 51 51 52 53 53 54 54 55 55 56 57 57 58 58 59 60 60 61 61 62 62 63 63 64 64 65 65 66 67 67 68 68 69 69 70 70 71 71 72 72 73 74 74 75 75 76 77 77 78 78 79 79 80 80 81 81 82 82 83 83 84 84 85 85 87 86 86 88 88 89 89 90 90 91 92 92 93 93 94 94 95 96 96 97 97 98 98 99 100 100 101 101 102 102 103 103]
0	:ok	:read	[2 3 5 6 7 9 12 14 15 18 19 23 26 27 28 30 31 32 34 35 36 36 37 37 38 39 39 40 40 41 42 42 43 43 44 45 45 46 46 47 47 48 48 49 49 50 50 51 51 52 52 53 53 54 55 56 56 57 58 58 59 59 60 60 61 62 63 63 64 64 65 66 66 67 68 68 69 69 70 71 72 72 73 73 74 75 75 76 76 77 77 78 79 80 80 81 81 82 83 84 84 85 87 86 86 87 88 88 89 90 91 91 92 92 93 94 94 95 95 96 96 97 98 98 99 99 100 100 101 102 103 103]
2	:ok	:read	[0 1 4 8 10 11 13 16 17 20 21 22 24 25 29 33 34 34 35 35 36 37 37 38 38 39 40 40 41 41 42 43 44 44 45 46 46 47 48 49 49 50 51 52 52 53 53 54 54 55 55 56 56 57 57 58 59 59 60 60 61 61 62 62 63 64 64 65 65 66 66 67 67 68 69 69 70 70 71 71 72 73 73 74 74 75 76 76 77 77 78 78 79 79 80 81 82 82 83 83 84 84 85 85 86 87 87 88 88 89 89 90 90 91 91 92 92 93 93 94 95 95 96 96 97 97 98 99 99 100 101 101 102 102 103]
